1,93,4.0,881251843
1,322,4.0,881251820
1,330,4.0,881251820
1,488,4.0,881251884
1,522,3.0,881252305
1,529,4.0,881251863
1,551,4.0,881251911
1,633,3.0,881252056
1,673,4.0,881251601
1,752,4.0,881251045
2,49,4.0,891719775
2,154,4.0,879023073
2,158,3.0,879720880
2,191,3.0,879023242
2,371,3.0,879023272
2,400,3.0,879023556
2,444,3.0,879024148
2,470,3.0,879023529
2,852,3.0,891718700
2,971,3.0,879023152
3,24,3.0,878887983
3,63,4.0,878888026
3,167,4.0,878886682
3,188,2.0,878886307
3,289,4.0,878886682
3,348,4.0,878886479
3,477,4.0,878888145
3,505,3.0,878888066
3,894,2.0,878887413
3,975,2.0,878886902
4,31,5.0,880604302
4,47,4.0,880602893
4,243,4.0,880604276
4,318,4.0,880605869
4,329,3.0,880607489
4,358,5.0,880604379
4,477,3.0,880607489
4,572,4.0,880605920
4,756,3.0,880603960
4,962,3.0,880606993
5,52,3.0,886397723
5,99,3.0,886397722
5,145,3.0,886397722
5,188,2.0,886397855
5,266,3.0,886397802
5,326,4.0,886397478
5,653,4.0,886397723
5,669,3.0,886397827
5,732,2.0,886397777
5,986,2.0,886397905
6,55,3.0,884183099
6,157,4.0,884182685
6,203,3.0,884127249
6,222,4.0,884127369
6,242,4.0,884182627
6,390,4.0,884182748
6,504,4.0,884183336
6,539,4.0,884127690
6,545,4.0,884183406
6,662,4.0,884183572
7,50,4.0,881171982
7,102,4.0,881171137
7,103,4.0,881172117
7,126,5.0,881171825
7,149,4.0,881169776
7,186,4.0,881172246
7,190,5.0,881171760
7,402,4.0,881171693
7,598,4.0,881170844
7,817,3.0,881172183
8,78,4.0,891628002
8,96,3.0,891627829
8,154,4.0,891628074
8,175,5.0,891628122
8,289,4.0,891628884
8,406,4.0,891628614
8,591,4.0,891628501
8,609,4.0,891627664
8,658,4.0,891628518
8,698,4.0,891628229
9,90,4.0,886323153
9,93,3.0,886323617
9,210,3.0,886323937
9,218,4.0,886322719
9,350,3.0,886324521
9,352,3.0,886323068
9,587,3.0,886323406
9,653,3.0,886307828
9,671,3.0,886325023
9,902,2.0,886324865
10,11,3.0,883599478
10,32,4.0,883600680
10,72,4.0,883600747
10,109,4.0,883600657
10,112,4.0,883602174
10,157,4.0,883600747
10,237,4.0,883601365
10,255,4.0,883601088
10,553,3.0,883599670
10,672,3.0,883600445
11,32,4.0,879373543
11,94,4.0,879373849
11,143,3.0,879375912
11,206,2.0,879376727
11,245,4.0,879374640
11,290,3.0,879372813
11,312,4.0,879373768
11,510,4.0,879374916
11,1009,3.0,879376159
11,1177,3.0,879374607
12,18,4.0,876521917
12,124,4.0,877533771
12,355,4.0,889651822
12,409,4.0,877532889
12,470,3.0,877532173
12,579,3.0,884583549
12,611,3.0,877534859
12,650,4.0,877532303
12,776,2.0,877534701
12,1035,4.0,876521773
13,113,5.0,884128822
13,137,4.0,884127370
13,155,4.0,884129468
13,163,4.0,884130014
13,206,3.0,884130085
13,446,4.0,891825324
13,465,4.0,884127370
13,529,4.0,884129410
13,573,3.0,891825441
13,616,4.0,884129814
14,44,4.0,887735288
14,53,4.0,887731082
14,58,4.0,887737338
14,83,4.0,887736322
14,87,4.0,887730407
14,136,4.0,887737678
14,241,5.0,887736206
14,330,4.0,891036021
14,448,4.0,891036116
14,493,4.0,887736429
15,69,4.0,888103611
15,205,3.0,888082584
15,263,2.0,888104188
15,309,3.0,888103872
15,456,3.0,888104085
15,499,4.0,888082742
15,521,2.0,888103729
15,611,3.0,888104057
15,974,3.0,888103971
15,1167,2.0,888082246
16,9,4.0,879468581
16,64,4.0,879467295
16,67,5.0,879466547
16,332,3.0,879466249
16,372,4.0,879467190
16,415,3.0,879543617
16,616,3.0,879485507
16,648,4.0,879467895
16,759,3.0,879467295
16,832,3.0,879543209
17,17,4.0,879270459
17,230,4.0,879270424
17,258,3.0,879270677
17,289,4.0,879270084
17,466,4.0,879270644
17,492,4.0,879269963
17,539,4.0,879270084
17,988,4.0,879270677
17,1212,4.0,879270567
17,1246,4.0,879270605
18,62,2.0,879527865
18,80,3.0,879525876
18,81,2.0,879525761
18,128,3.0,879551380
18,210,3.0,879538898
18,255,4.0,879521856
18,322,4.0,879521088
18,541,3.0,879549899
18,612,3.0,879521475
18,647,3.0,879524216
19,53,5.0,874805804
19,182,3.0,874805860
19,218,5.0,874835116
19,316,4.0,874871479
19,417,3.0,874834388
19,511,3.0,874834289
19,779,4.0,874871800
19,972,4.0,874834389
19,1212,4.0,874868045
19,1223,3.0,875086766
20,52,2.0,891034007
20,167,3.0,892078605
20,385,4.0,892078605
20,403,2.0,892079617
20,424,3.0,892335587
20,551,3.0,892335707
20,598,3.0,891227730
20,689,3.0,892335707
20,726,4.0,892079288
20,876,3.0,892334400
21,11,4.0,874775614
21,26,4.0,874775914
21,78,4.0,874775038
21,91,4.0,874781198
21,182,3.0,874774956
21,474,4.0,890627339
21,539,5.0,874781407
21,791,3.0,886177338
21,892,3.0,886433226
21,1077,4.0,874774575
22,47,3.0,892738419
22,68,4.0,892738341
22,120,4.0,892738384
22,161,3.0,892738341
22,374,4.0,892738278
22,414,2.0,892737972
22,481,4.0,892738385
22,937,4.0,892738418
22,1067,3.0,892738453
22,1090,3.0,892738277
23,74,4.0,877877933
23,96,3.0,877618584
23,97,4.0,878191995
23,180,3.0,889501325
23,242,4.0,877881169
23,289,4.0,879123190
23,434,4.0,877880852
23,694,4.0,878192344
23,700,3.0,878192721
23,734,4.0,889502087
24,51,4.0,887737036
24,209,4.0,887740933
24,222,4.0,887737484
24,231,4.0,887738508
24,236,4.0,887739172
24,518,4.0,887739382
24,521,3.0,887737483
24,700,4.0,887736459
